fips,state,county,pct_laccess_pop10,pct_laccess_pop15,pct_laccess_lowi10,pct_laccess_lowi15,pct_laccess_hhnv10,pct_laccess_hhnv15,pct_laccess_snap15,pct_laccess_child10,pct_laccess_child15,pct_laccess_seniors10,pct_laccess_seniors15,pct_diabetes18,class
17063,IL,Grundy,18.22927662,18.59072647,3.334570416,4.951561998,2.204778808,2.363682433,1.88086993,4.894943557,5.007963013,1.952343554,1.980066997,7.4,0.0
17065,IL,Hamilton,18.29381406,14.11400245,5.79019597,4.330192816,0.7499068308,1.580340225,1.598880295,4.217789207,3.279275218,3.390983157,2.34405108,6.8,0.0
17067,IL,Hancock,53.41705755,38.44182571,17.80664867,14.16779908,3.867130151,3.46293059,4.757669719,12.03810825,8.823085821,10.51472184,7.331501571,6.8,0.0
17069,IL,Hardin,23.72767772,16.5443611,8.809050207,4.775370945,5.111747124,8.598684819,2.804922134,4.337967235,2.952387033,5.369472901,3.522002879,6.8,0.0
17071,IL,Henderson,1.390885103,1.358487781,0.4391092083,0.4559022307,3.263609601,1.692138519,0.1397346866,0.2966676144,0.2879462181,0.1871533088,0.1759546001,7.3,0.0
17073,IL,Henry,18.72207177,18.50815334,5.270088944,5.068172267,2.336881515,1.748367505,1.752335007,4.72577221,4.666638216,2.886954479,3.089754724,7.9,0.0
17075,IL,Iroquois,14.09073792,21.85715374,3.502387229,7.539483477,1.505965122,3.029826738,2.061236965,3.462198493,5.386236759,2.510468457,3.96093064,7.4,0.0
17077,IL,Jackson,23.64813566,21.99840575,10.51610861,11.21813038,3.396015772,4.566253134,4.082642123,5.010683541,4.629414567,3.374857733,2.999952786,7.8,0.0
17079,IL,Jasper,15.50838825,14.94266102,4.604156982,3.998906699,1.998321936,2.009850897,1.18046297,3.80097403,3.686400489,2.816971804,2.741481973,6.9,0.0
17081,IL,Jefferson,22.39924708,22.01518014,8.520777821,8.586668032,4.33861294,3.702445963,3.71547924,4.796371018,4.72314628,3.520965654,3.462199834,8.0,0.0
17083,IL,Jersey,15.19890218,15.65233166,4.098938214,4.206369477,0.8118490332,2.133470952,1.88000805,3.325685031,3.41653973,2.979117791,3.040689655,7.1,0.0
17085,IL,Jo Daviess,19.94528696,19.94055632,5.421915417,6.172585061,3.094627199,3.584726307,1.144343516,4.405546711,4.405152491,3.985995917,3.985995917,8.2,0.0
17087,IL,Johnson,17.65442938,21.11929666,13.61129873,14.38632828,1.948373018,4.452614755,1.22067428,1.701813961,2.505298771,1.429961429,2.049828519,7.0,0.0
17089,IL,Kane,19.67953323,18.48856118,3.43142001,3.820834053,0.9727055635,0.9491472463,1.288473639,5.326476226,5.26040316,2.068385865,1.751087624,8.1,0.0
17091,IL,Kankakee,14.96710129,12.75300929,5.683239049,4.597185395,2.722694854,2.454201688,2.284937741,4.222210339,3.646235895,1.890256497,1.652506872,9.5,1.0
17093,IL,Kendall,24.0980161,15.66282905,3.16754542,3.036208553,1.310999527,0.9616227278,0.9369257143,7.17865766,4.654407257,2.092093999,1.488404279,9.1,1.0
17095,IL,Knox,13.97319508,17.97079579,4.270032307,6.777326785,1.735205363,1.988453004,1.978800003,2.618864576,3.651685869,2.250907243,2.82260757,8.4,0.0
17097,IL,Lake,36.16821914,35.26383711,5.218229421,5.808488125,1.436630817,1.371759859,2.038049137,9.676525544,9.113847586,4.044781755,3.655561738,7.5,0.0
17099,IL,LaSalle,23.41669203,20.70865476,6.480857523,6.100281898,1.987263528,1.90979483,2.549106796,5.589377646,4.958036254,3.637611999,3.192025812,8.1,0.0
17101,IL,Lawrence,12.52871129,14.2191098,5.265927745,5.21802512,2.056490001,1.700522677,1.70314563,2.923782852,3.326934538,2.191340153,2.408589422,8.1,0.0
17103,IL,Lee,10.52796877,10.86749296,2.898755135,3.356728931,2.073172061,2.668199155,1.451889369,2.556352673,2.554918454,1.511890797,1.55466927,6.8,0.0
17105,IL,Livingston,8.570351918,8.448001844,2.553461538,2.444225305,1.674325712,2.189259574,0.8971716639,1.984325715,1.964825883,1.544824029,1.536115364,7.2,0.0
17107,IL,Logan,31.84879696,36.44458503,6.252916558,10.31485159,1.472061752,2.326702229,3.629587719,5.049067994,6.321667434,4.264440826,4.896643913,7.0,0.0
17109,IL,McDonough,28.80654581,12.66810471,17.38880274,6.731746426,3.164814994,1.69358388,1.413616866,3.849645894,1.955522427,2.996730814,1.847728606,8.0,0.0
17111,IL,McHenry,43.07905337,43.17121436,6.388199145,7.079390453,1.491590389,1.445490229,2.132554845,12.68442916,12.64692641,3.365451409,3.388176085,7.4,0.0
17113,IL,McLean,27.36467938,27.41969734,8.227280535,9.792988471,1.650042358,2.315093303,2.86504439,6.404180472,6.328958168,2.115312876,2.174564913,8.9,1.0
17115,IL,Macon,29.94271732,26.91715147,9.033107172,7.37365332,2.686782192,1.907423533,2.209974481,6.937759169,5.811916937,5.045758553,4.892610931,8.1,0.0
17117,IL,Macoupin,9.226958643,16.11736011,3.230266922,6.184269531,2.055822161,2.87157356,3.217700541,2.315560984,3.919256978,1.42826932,2.627836996,7.3,0.0
17119,IL,Madison,31.754364,35.8125532,9.640402475,12.06606976,2.035058602,3.036495471,5.231288606,7.020983908,8.099754678,4.502292731,5.048615114,7.1,0.0
17121,IL,Marion,25.36374262,27.25698339,11.24524006,12.49167927,2.952773417,3.495362167,5.802674802,5.893624951,6.363398402,4.364515719,4.635374534,8.0,0.0
17123,IL,Marshall,13.59543137,18.51919514,4.115372043,6.094072704,2.149466789,1.885692246,1.497602621,3.470067744,4.410540972,2.530506588,3.405230709,7.6,0.0
17125,IL,Mason,7.059294195,31.11233655,2.787129967,12.18396063,1.179854775,3.685642999,4.268976935,1.579894645,7.547166034,1.2425317,4.954884102,7.3,0.0
17127,IL,Massac,12.59062783,9.884215735,3.861544924,4.373540833,2.785380161,2.488664533,1.936807751,2.638121908,2.056202554,3.013210061,2.446725155,8.1,0.0
17129,IL,Menard,2.761661269,2.761661269,0.3298011639,0.4497434962,1.333653744,2.72066039,0.277045436,0.4495070599,0.4495070599,0.6788864441,0.6788864441,7.1,0.0
